date,price_core,core_plus_weak_edge,core_plus_entry_exceptions,full_strategy
2024-05-29,188181.30667308695,188181.30667308695,188181.30667308695,184763.07267646323
2024-05-30,183181.80782894022,183181.80782894022,183181.80782894022,179855.9738109542
2024-05-31,183787.818087138,183787.818087138,183787.818087138,180450.78387956152
2024-06-03,185302.8166423214,185302.8166423214,185302.8166423214,181937.78246144782
2024-06-04,184393.8102851284,184393.8102851284,184393.8102851284,181045.57622174747
2024-06-05,181818.3163533581,181818.3163533581,181818.3163533581,178517.68217782507
2024-06-06,183484.80392793543,183484.80392793543,183484.80392793543,180153.36998204718
2024-06-07,183939.30710653192,183939.30710653192,183939.30710653192,180599.47310189734
2024-06-11,177879.31288579828,177879.31288579828,177879.31288579828,174651.47877435217
2024-06-12,176853.04338997984,176853.04338997984,176853.04338997984,173628.00940937785
2024-06-13,177779.3692432994,177779.3692432994,177779.3692432994,174568.11055445092
2024-06-14,177194.50809748162,177194.50809748162,177194.50809748162,174019.5646318954
2024-06-17,178012.5268200158,178012.5268200158,178012.5268200158,174822.58301110682
2024-06-18,180302.91683466424,180302.91683466424,180302.91683466424,177070.97320886073
2024-06-19,180302.91683466424,180302.91683466424,180302.91683466424,177070.97320886073
2024-06-20,181284.52369959344,181284.52369959344,181284.52369959344,178034.57994790492
2024-06-21,178994.11418230523,178994.11418230523,178994.11418230523,175786.1706051391
2024-06-24,178339.7226074456,178339.7226074456,178339.7226074456,175143.77887578425
2024-06-25,176212.9207351922,176212.9207351922,176212.9207351922,173055.9770378631
2024-06-26,178994.11418230523,178994.11418230523,178994.11418230523,175786.1706051391
2024-06-27,178830.5260399102,178830.5260399102,178830.5260399102,175625.58224530634
2024-06-28,181120.91605455865,181120.91605455865,181120.91605455865,177873.97244306025
2024-07-01,180793.72026712884,180793.72026712884,180793.72026712884,177552.77657838282
2024-07-02,181120.91605455865,181120.91605455865,181120.91605455865,177873.97244306025
2024-07-03,185047.32401163568,185047.32401163568,185047.32401163568,181728.3802542251
2024-07-04,185701.7155864953,185701.7155864953,185701.7155864953,182370.77198357997
2024-07-05,187174.1258838891,187174.1258838891,187174.1258838891,183816.1820921462
2024-07-08,188973.71246607293,188973.71246607293,188973.71246607293,185582.76892037806
2024-07-09,189791.71168596734,189791.71168596734,189791.71168596734,186385.76815457758
2024-07-10,188319.3208912133,188319.3208912133,188319.3208912133,184940.3771910232
2024-07-11,190609.71090586175,190609.71090586175,190609.71090586175,187188.76738877705
2024-07-12,183574.91371424188,183574.91371424188,183574.91371424188,180282.97014565882
2024-07-15,188810.1243236779,188810.1243236779,188810.1243236779,185422.1805605453
2024-07-16,188482.90903360833,188482.90903360833,188482.90903360833,185100.96555085597
2024-07-17,186519.7148063897,186519.7148063897,186519.7148063897,183173.7712177795
2024-07-18,183411.32557184686,183411.32557184686,183411.32557184686,180122.38178582606
2024-07-19,180630.11262209405,180630.11262209405,180630.11262209405,177392.16907353816
2024-07-22,180302.91683466424,180302.91683466424,180302.91683466424,177070.97320886073
2024-07-23,181867.97773471495,181867.97773471495,181867.97773471495,178607.37073284877
2024-07-24,180492.47904649397,180492.47904649397,180492.47904649397,177257.3720203091
2024-07-25,175265.57528606078,175265.57528606078,175265.57528606078,172127.3683295895
2024-07-26,173004.95543568837,173004.95543568837,173004.95543568837,169893.44094544437
2024-07-29,173694.06277840288,173694.06277840288,173694.06277840288,170568.9302899196
2024-07-30,171853.00431423937,171853.00431423937,171853.00431423937,168775.87156540304
2024-07-31,178163.8652714595,178163.8652714595,178163.8652714595,168257.0146217936
2024-08-01,179430.17412746992,179430.17412746992,179430.17412746992,168520.71122676073
2024-08-02,174364.96386254876,174364.96386254876,174364.96386254876,167729.60569411455
2024-08-05,166767.1736242875,166767.1736242875,166767.1736242875,166147.41034656702
2024-08-06,168624.47239018494,168624.47239018494,168624.47239018494,164565.2149990195
2024-08-07,168629.69649977397,168629.69649977397,168629.69649977397,164828.9116039866
2024-08-08,168634.920609363,168634.920609363,168634.920609363,164318.45103149617
2024-08-09,168640.14471895204,168640.14471895204,168640.14471895204,164323.55075752357
2024-08-12,168659.17704771916,168659.17704771916,168659.17704771916,164342.12993560577
2024-08-13,168664.4011573082,168664.4011573082,168664.4011573082,164347.22966163317
2024-08-14,168669.62526689723,168669.62526689723,168669.62526689723,164352.32938766057
2024-08-15,168674.84937648627,168674.84937648627,168674.84937648627,164357.42911368798
2024-08-16,168680.0734860753,168680.0734860753,168680.0734860753,164362.52883971538
2024-08-19,168783.10819738478,168783.10819738478,168783.10819738478,164462.91425961987
2024-08-20,168783.10819738478,168783.10819738478,168783.10819738478,164462.91425961987
2024-08-21,169517.51333349317,169517.51333349317,169517.51333349317,165178.11926145092
2024-08-22,169089.1006099519,169089.1006099519,169089.1006099519,164760.90687055126
2024-08-23,168507.71356695265,168507.71356695265,168507.71356695265,164194.71948880688
2024-08-26,169548.11111562818,169548.11111562818,169548.11111562818,165207.91710156933
2024-08-27,169425.7053958711,169425.7053958711,169425.7053958711,165088.71153134838
2024-08-28,169242.104111844,169242.104111844,169242.104111844,164909.91028089062
2024-08-29,169456.3031780061,169456.3031780061,169456.3031780061,165118.5093714668
2024-08-30,169058.5028278169,169058.5028278169,169058.5028278169,164731.10903043285
2024-09-02,168109.91321676344,168109.91321676344,168109.91321676344,163807.31914777294
2024-09-03,168415.90562933058,168415.90562933058,168415.90562933058,164105.31175870434
2024-09-04,167253.10236089796,167253.10236089796,167253.10236089796,162972.90857572094
2024-09-05,168446.5034114656,168446.5034114656,168446.5034114656,164135.10959882275
2024-09-06,168905.51391714186,168905.51391714186,168905.51391714186,164582.1198298408
2024-09-09,167681.51508443922,167681.51508443922,167681.51508443922,163390.1209666206
2024-09-10,168783.10819738478,168783.10819738478,168783.10819738478,164462.91425961987
2024-09-11,169670.50224416822,169670.50224416822,169670.50224416822,165327.10846204296
2024-09-12,169333.91204946607,169333.91204946607,169333.91204946607,164999.31801099316
2024-09-13,171781.90971487135,171781.90971487135,171781.90971487135,167383.3157374336
2024-09-18,171720.71415060133,171720.71415060133,171720.71415060133,167323.72005719677
2024-09-19,171445.30492895216,171445.30492895216,171445.30492895216,167055.51107663647
2024-09-20,173373.11111562818,173373.11111562818,173373.11111562818,168932.91710156933
2024-09-23,174841.90679662794,174841.90679662794,174841.90679662794,170363.31289548412
2024-09-24,174413.50866430372,174413.50866430372,174413.50866430372,169946.11471433178
2024-09-25,174673.00665545178,174673.00665545178,174673.00665545178,171227.50709790722
2024-09-26,178001.2163688483,178001.2163688483,178001.2163688483,171555.31175870434
2024-09-27,184635.44986071912,184635.44986071912,184635.44986071912,171298.30375867136
2024-09-30,192752.1204232387,192752.1204232387,192752.1204232387,171317.6759504522
2024-10-08,201700.45459636688,201700.45459636688,201700.45459636688,171372.1851285344
2024-10-09,211591.75577258255,211591.75577258255,211591.75577258255,171377.50252579467
2024-10-10,199492.0840445271,199492.0840445271,199492.0840445271,171382.81992305495
2024-10-11,200151.6679912339,200151.6679912339,200151.6679912339,171388.13732031523
2024-10-14,213774.80547787278,213774.80547787278,213774.80547787278,171407.50951209606
2024-10-15,209246.40382580762,209246.40382580762,209246.40382580762,171412.82690935634
2024-10-16,211538.21334891324,211538.21334891324,211538.21334891324,171418.14430661662
2024-10-17,213175.21178774838,213175.21178774838,213175.21178774838,171423.4617038769
2024-10-18,229217.80039124493,229217.80039124493,229217.80039124493,171428.7791011372
