datetime,v4,formal_f,different
2024-07-25,512760.SH,159611.SZ,True
2024-07-26,512760.SH,159611.SZ,True
2024-07-29,512760.SH,512800.SH,True
2024-07-30,512760.SH,512800.SH,True
2024-07-31,512760.SH,512800.SH,True
2024-08-01,512760.SH,512800.SH,True
2024-08-02,512760.SH,512800.SH,True
2024-08-16,513520.SH,518880.SH,True
2024-08-19,513520.SH,518880.SH,True
2024-08-20,513520.SH,518880.SH,True
2024-08-21,513520.SH,518880.SH,True
2024-08-22,513520.SH,518880.SH,True
2024-08-23,513520.SH,518880.SH,True
2024-08-26,513520.SH,518880.SH,True
2024-08-27,513520.SH,518880.SH,True
2024-08-28,513520.SH,518880.SH,True
2024-08-29,513520.SH,518880.SH,True
2024-08-30,513520.SH,518880.SH,True
2024-09-02,513520.SH,518880.SH,True
2024-09-03,513520.SH,518880.SH,True
2024-09-04,513500.SH,518880.SH,True
2025-02-11,CASH,513200.SH,True
2025-02-12,CASH,513200.SH,True
2025-02-13,CASH,513200.SH,True
2025-02-14,CASH,513200.SH,True
2025-02-17,CASH,513200.SH,True
2025-02-18,CASH,513200.SH,True
2025-02-19,CASH,513200.SH,True
2025-02-20,CASH,513200.SH,True
2025-02-21,CASH,513200.SH,True
2025-02-24,CASH,513200.SH,True
2025-02-25,CASH,513200.SH,True
2025-02-26,CASH,513200.SH,True
2025-02-27,CASH,513200.SH,True
2025-02-28,CASH,513200.SH,True
2025-03-03,CASH,513200.SH,True
2025-03-04,CASH,513200.SH,True
2025-03-05,CASH,513200.SH,True
2025-03-06,CASH,513200.SH,True
2025-03-07,CASH,513200.SH,True
2025-03-10,CASH,513200.SH,True
2025-03-11,CASH,513200.SH,True
2025-03-12,CASH,513200.SH,True
2025-03-13,CASH,513200.SH,True
2025-03-14,CASH,513200.SH,True
2025-03-17,CASH,513200.SH,True
2025-03-18,CASH,513200.SH,True
2025-03-19,CASH,513200.SH,True
2025-03-20,CASH,513200.SH,True
2025-03-21,CASH,513200.SH,True
2025-03-24,CASH,513200.SH,True
2025-03-25,CASH,513200.SH,True
