,equity
2021-08-06,132724.35670849972
2021-08-09,128901.15845558337
2021-08-10,128104.65921518496
2021-08-11,128582.55306241206
2021-08-12,130016.25359413317
2021-08-13,125077.96020266703
2021-08-16,126033.75739214114
2021-08-17,120298.95526525668
2021-08-18,120458.25321433238
2021-08-19,120277.65037363517
2021-08-20,120281.38188048449
2021-08-23,120294.97640103244
2021-08-24,120298.70790788176
2021-08-25,120302.43941473108
2021-08-26,120306.1709215804
2021-08-27,120309.90242842972
2021-08-30,120323.49694897767
2021-08-31,120327.22845582699
2021-09-01,120330.95996267631
2021-09-02,120334.69146952563
2021-09-03,120338.42297637495
2021-09-06,120352.0174969229
2021-09-07,120355.74900377222
2021-09-08,120359.48051062154
2021-09-09,120363.21201747085
2021-09-10,120366.94352432017
2021-09-13,120380.53804486812
2021-09-14,120384.26955171744
2021-09-15,120388.00105856676
2021-09-16,120391.73256541608
2021-09-17,120395.4640722654
2021-09-22,120418.92160651197
2021-09-23,120422.65311336129
2021-09-24,120426.3846202106
2021-09-27,120439.97914075856
2021-09-28,120443.71064760788
2021-09-29,120447.4421544572
2021-09-30,120451.17366130651
2021-10-08,120489.42571610103
2021-10-11,120503.02023664898
2021-10-12,120506.7517434983
2021-10-13,120510.48325034762
2021-10-14,120514.21475719694
2021-10-15,120517.94626404626
2021-10-18,120531.54078459421
2021-10-19,120535.27229144353
2021-10-20,120539.00379829285
2021-10-21,120542.73530514217
2021-10-22,120546.46681199149
2021-10-25,120560.06133253944
2021-10-26,120563.79283938876
2021-10-27,120567.52434623807
2021-10-28,118914.0592569621
2021-10-29,119167.06566790982
2021-11-01,118393.4916945504
2021-11-02,119846.32206052457
2021-11-03,118908.59272426592
2021-11-04,122126.10706419795
2021-11-05,122131.5549645964
2021-11-08,120263.74864917433
2021-11-09,119754.35520749725
2021-11-10,117292.25148301758
2021-11-11,118494.58424076164
2021-11-12,117936.51847506988
2021-11-15,121167.85209086948
2021-11-16,122389.28703627366
2021-11-17,121143.34176398236
2021-11-18,121197.22156476352
2021-11-19,120774.21860646579
2021-11-22,120210.21746348712
2021-11-23,118518.21403455111
2021-11-24,116121.21968221042
2021-11-25,114497.07260957507
2021-11-26,113885.62394893868
2021-11-29,114612.82181061011
2021-11-30,111946.42001903756
2021-12-01,112431.22100151282
2021-12-02,113764.42550934058
2021-12-03,118127.61990345221
2021-12-06,118006.42146385412
2021-12-07,117764.02458465796
2021-12-08,123581.62915027836
2021-12-09,126732.81747616034
2021-12-10,126490.42059696418
2021-12-13,127581.22822559577
2021-12-14,128793.2270697425
2021-12-15,126490.42059696418
2021-12-16,124066.42290867072
2021-12-17,120066.82383335334
2021-12-20,119945.62539375525
2021-12-21,120066.82383335334
2021-12-22,120794.0216950248
2021-12-23,124308.81978786689
2021-12-24,124066.42290867072
2021-12-27,122490.8215216468
2021-12-28,122428.27149051972
2021-12-29,122432.06518914986
2021-12-30,122435.85888777999
2021-12-31,122439.65258641013
2022-01-04,122458.48738093067
2022-01-05,122462.28107956081
2022-01-06,122466.07477819094
2022-01-07,122469.86847682108
2022-01-10,122483.68957271149
2022-01-11,122487.48327134163
2022-01-12,122491.27696997176
2022-01-13,122495.0706686019
2022-01-14,122498.86436723203
2022-01-17,122512.68546312244
2022-01-18,122516.47916175258
2022-01-19,122520.27286038271
2022-01-20,122524.06655901285
2022-01-21,122527.86025764298
2022-01-24,122541.6813535334
2022-01-25,118101.30489363705
2022-01-26,118732.50930800472
2022-01-27,116628.51131453548
2022-01-28,116365.50529494323
2022-02-07,115875.9039943213
2022-02-08,115879.48002171855
2022-02-09,115883.05604911581
2022-02-10,115886.63207651307
2022-02-11,115890.20810391032
2022-02-14,115903.2361861021
2022-02-15,115840.83403433094
2022-02-16,115028.65432709218
2022-02-17,112390.65677790946
2022-02-18,113745.35208611793
2022-02-21,113816.65541796989
2022-02-22,115028.75256209678
2022-02-23,115028.75256209678
2022-02-24,117524.25018220252
2022-02-25,114672.25290208167
2022-02-28,115955.65337806052
2022-03-01,117666.85684590643
2022-03-02,121303.15677790946
2022-03-03,126080.25052218742
2022-03-04,122443.9505901844
2022-03-07,132354.6547380001
2022-03-08,128076.65031819648
2022-03-09,131071.25426202123
2022-03-10,124226.45738988229
2022-03-11,124654.25188212699
2022-03-14,120304.95263009374
2022-03-15,116240.84970622367
2022-03-16,118237.24950223273
2022-03-17,117524.25018220252
2022-03-18,121873.54943423576
2022-03-21,122016.15609793969
2022-03-22,123656.05623393363
2022-03-23,123299.55657391853
2022-03-24,123656.05623393363
2022-03-25,127078.45467000312
2022-03-28,124226.45738988229
2022-03-29,123156.94991021462
2022-03-30,123656.05623393363
2022-03-31,121873.54943423576
2022-04-01,120019.75630193061
2022-04-06,121780.10936531363
2022-04-07,120934.25806019307
2022-04-08,120937.98956704239
2022-04-11,120951.58408759034
2022-04-12,120955.31559443966
2022-04-13,122355.6512170556
2022-04-14,125116.45093495873
2022-04-15,123489.55131108788
2022-04-18,120334.34491689233
2022-04-19,122503.55225141076
2022-04-20,118214.44576318291
2022-04-21,115552.25065286187
2022-04-22,114936.13753686326
2022-04-25,114949.0523313838
2022-04-26,114952.59726289066
2022-04-27,114956.14219439751
2022-04-28,114959.68712590437
2022-04-29,114963.23205741122
2022-05-05,114990.20164645232
2022-05-06,114993.74657795917
2022-05-09,114747.2511693761
2022-05-10,113903.35683076833
2022-05-11,113321.35738580677
2022-05-12,114427.15355604145
2022-05-13,113263.15466611835
2022-05-16,112773.86661415716
2022-05-17,112777.34935388318
2022-05-18,112780.8320936092
2022-05-19,112784.31483333523
2022-05-20,112787.79757306125
2022-05-23,112800.48579223933
2022-05-24,112803.96853196535
2022-05-25,112807.45127169137
2022-05-26,112810.9340114174
2022-05-27,112814.41675114342
2022-05-30,112554.58038536723
2022-05-31,113061.99957764467
2022-06-01,112792.06977002321
2022-06-02,112688.24999167165
2022-06-06,116775.44326254407
2022-06-07,118436.85300608884
2022-06-08,121157.1637791207
2022-06-09,119054.5567064505
2022-06-10,123268.41930891771
2022-06-13,125579.99801505922
2022-06-14,125368.44992399095
2022-06-15,123870.44369935869
2022-06-16,125154.45267915605
2022-06-17,131039.4470667827
2022-06-20,133072.45278119916
2022-06-21,130825.4498219478
2022-06-22,131681.45155668136
2022-06-23,136924.4542098033
2022-06-24,138315.45543432113
2022-06-27,138850.45492410538
2022-06-28,140027.44614839432
2022-06-29,134035.44676065326
2022-06-30,135105.4457402217
2022-07-01,134142.45176076767
2022-07-04,136817.44920968887
2022-07-05,137780.4431891429
2022-07-06,136710.44420957443
2022-07-07,141311.45512819168
2022-07-08,137031.44645452377
2022-07-11,131574.44655656692
2022-07-12,128257.44461774705
2022-07-13,131574.44655656692
2022-07-14,136496.44696473953
2022-07-15,134677.4512505519
2022-07-18,136282.44971990463
2022-07-19,133714.4445157039
2022-07-20,133393.45502614853
2022-07-21,130825.4498219478
2022-07-22,131146.45206689712
2022-07-25,129220.45135259508
2022-07-26,130504.44757699846
2022-07-27,130825.4498219478
2022-07-28,129006.45410776018
2022-07-29,129026.77434348057
2022-08-01,129041.38845306961
2022-08-02,129045.39982293262
2022-08-03,129049.41119279564
2022-08-04,129053.42256265866
2022-08-05,129057.43393252167
