datetime,primary,formal_f,different
2021-11-19,513500.SH,159865.SZ,True
2021-11-22,513500.SH,159865.SZ,True
2021-11-23,513500.SH,159865.SZ,True
2021-11-24,513500.SH,512690.SH,True
2021-11-25,513500.SH,512690.SH,True
2021-11-26,CASH,512690.SH,True
2021-11-29,512100.SH,512690.SH,True
2021-11-30,512100.SH,512690.SH,True
2021-12-01,512100.SH,512690.SH,True
2021-12-02,512100.SH,512690.SH,True
2021-12-03,512100.SH,512690.SH,True
2021-12-06,512100.SH,512690.SH,True
2021-12-07,512100.SH,512690.SH,True
2021-12-08,512100.SH,512690.SH,True
2021-12-09,512100.SH,512690.SH,True
2021-12-10,512100.SH,512690.SH,True
2021-12-13,512100.SH,512690.SH,True
2021-12-14,512100.SH,512690.SH,True
2021-12-15,CASH,512690.SH,True
2021-12-16,CASH,512690.SH,True
2021-12-17,CASH,512690.SH,True
2021-12-20,CASH,512690.SH,True
2021-12-21,CASH,512690.SH,True
2021-12-22,CASH,512690.SH,True
2021-12-23,CASH,512690.SH,True
2021-12-24,CASH,512690.SH,True
2022-01-13,512200.SH,CASH,True
2022-01-24,512800.SH,512200.SH,True
2022-01-25,512800.SH,512200.SH,True
2022-01-26,512800.SH,512200.SH,True
2022-01-27,512800.SH,512200.SH,True
2022-01-28,512800.SH,CASH,True
2022-02-07,512800.SH,CASH,True
2022-02-08,512800.SH,CASH,True
2022-02-09,512800.SH,CASH,True
2022-02-10,512800.SH,CASH,True
2022-02-11,512800.SH,CASH,True
2022-02-14,512800.SH,159981.SZ,True
2022-02-15,CASH,159981.SZ,True
2022-02-16,CASH,159981.SZ,True
2022-02-17,CASH,159981.SZ,True
2022-02-18,CASH,159981.SZ,True
2022-02-21,CASH,159981.SZ,True
2022-02-22,CASH,159981.SZ,True
2022-02-23,CASH,159981.SZ,True
2022-02-24,CASH,159981.SZ,True
2022-02-25,CASH,159981.SZ,True
2022-02-28,CASH,159981.SZ,True
2022-03-01,CASH,159981.SZ,True
2022-03-02,518880.SH,159981.SZ,True
2022-03-03,518880.SH,159981.SZ,True
2022-03-04,518880.SH,159981.SZ,True
2022-03-07,518880.SH,159981.SZ,True
2022-03-08,518880.SH,159981.SZ,True
2022-03-09,518880.SH,159981.SZ,True
2022-03-10,518880.SH,159981.SZ,True
2022-03-11,518880.SH,159981.SZ,True
2022-03-14,518880.SH,159981.SZ,True
2022-03-15,518880.SH,159981.SZ,True
2022-03-16,518880.SH,159981.SZ,True
2022-03-17,518880.SH,159981.SZ,True
2022-03-18,CASH,159981.SZ,True
2022-03-21,CASH,159981.SZ,True
2022-03-22,CASH,159981.SZ,True
2022-03-23,CASH,159981.SZ,True
2022-03-24,CASH,159981.SZ,True
2022-03-25,CASH,159981.SZ,True
2022-03-28,CASH,159981.SZ,True
2022-03-29,CASH,159981.SZ,True
2022-03-30,CASH,159981.SZ,True
2022-03-31,CASH,159981.SZ,True
2022-04-08,512800.SH,CASH,True
2022-04-11,512800.SH,CASH,True
2022-04-12,512800.SH,510880.SH,True
2022-04-13,512800.SH,510880.SH,True
2022-04-14,512800.SH,510880.SH,True
2022-04-15,512800.SH,510880.SH,True
2022-04-18,512800.SH,510880.SH,True
2022-04-19,CASH,510880.SH,True
2022-04-20,CASH,510880.SH,True
2022-05-06,CASH,518880.SH,True
2022-05-09,CASH,518880.SH,True
2022-05-10,CASH,518880.SH,True
2022-05-11,CASH,518880.SH,True
2022-05-12,CASH,518880.SH,True
2022-05-27,CASH,159981.SZ,True
2022-05-30,CASH,159981.SZ,True
2022-05-31,CASH,159981.SZ,True
2022-06-01,CASH,159981.SZ,True
2022-06-02,CASH,159981.SZ,True
2022-06-06,CASH,159755.SZ,True
2022-06-07,CASH,159755.SZ,True
2022-06-08,513130.SH,159755.SZ,True
2022-06-09,CASH,159755.SZ,True
2022-06-10,516150.SH,159755.SZ,True
2022-06-13,516150.SH,159755.SZ,True
2022-06-14,516150.SH,159755.SZ,True
2022-06-15,516150.SH,159755.SZ,True
2022-06-16,516150.SH,159755.SZ,True
2022-06-17,516150.SH,159755.SZ,True
2022-06-20,516150.SH,159755.SZ,True
2022-06-21,516150.SH,159755.SZ,True
2022-06-22,516150.SH,159755.SZ,True
2022-06-23,516150.SH,159755.SZ,True
2022-06-24,516150.SH,159755.SZ,True
2022-06-27,516150.SH,159755.SZ,True
2022-06-28,516150.SH,159755.SZ,True
2022-06-29,516150.SH,159755.SZ,True
2022-06-30,516150.SH,159755.SZ,True
2022-07-01,516150.SH,159755.SZ,True
2022-07-04,510300.SH,159755.SZ,True
2022-07-05,510300.SH,159755.SZ,True
2022-07-06,510300.SH,159755.SZ,True
2022-07-07,510300.SH,159755.SZ,True
2022-07-08,510300.SH,159755.SZ,True
2022-07-11,512010.SH,159755.SZ,True
2022-07-12,512010.SH,159755.SZ,True
2022-07-13,512010.SH,159755.SZ,True
2022-07-14,CASH,159755.SZ,True
2022-07-15,CASH,159755.SZ,True
2022-07-18,CASH,159755.SZ,True
2022-07-19,CASH,159755.SZ,True
2022-07-20,CASH,159755.SZ,True
2022-07-21,CASH,159755.SZ,True
2022-07-22,CASH,159755.SZ,True
2022-07-25,CASH,159755.SZ,True
2022-07-26,CASH,159755.SZ,True
2022-07-27,CASH,159755.SZ,True
2022-08-01,159941.SZ,CASH,True
2022-08-02,159941.SZ,CASH,True
2022-08-03,159941.SZ,CASH,True
2022-08-04,159941.SZ,CASH,True
2022-08-05,159941.SZ,CASH,True
2022-08-08,159941.SZ,CASH,True
2022-08-09,159941.SZ,CASH,True
2022-08-10,159941.SZ,CASH,True
2022-08-11,159941.SZ,CASH,True
2022-08-12,159941.SZ,CASH,True
2022-08-15,159941.SZ,CASH,True
2022-08-25,CASH,159941.SZ,True
2022-08-26,CASH,159941.SZ,True
2022-08-30,159865.SZ,CASH,True
2022-09-08,512200.SH,159865.SZ,True
2022-09-09,512200.SH,159865.SZ,True
2022-09-13,512200.SH,159865.SZ,True
2022-09-14,512200.SH,159865.SZ,True
2022-09-15,512200.SH,CASH,True
2022-10-10,CASH,518880.SH,True
2022-10-11,CASH,159985.SZ,True
2022-10-12,CASH,159985.SZ,True
2022-10-13,CASH,159985.SZ,True
2022-10-14,CASH,159985.SZ,True
2022-10-17,CASH,159985.SZ,True
2022-10-18,CASH,159985.SZ,True
2022-10-19,CASH,159985.SZ,True
2022-10-20,CASH,159985.SZ,True
2022-10-21,CASH,159985.SZ,True
2022-10-24,CASH,159985.SZ,True
2022-10-25,CASH,159985.SZ,True
2022-10-26,CASH,159985.SZ,True
2022-10-27,CASH,159985.SZ,True
2022-10-28,CASH,159985.SZ,True
2022-10-31,CASH,159985.SZ,True
2022-11-01,CASH,159985.SZ,True
2022-11-02,CASH,159985.SZ,True
2022-11-03,CASH,159985.SZ,True
2022-11-04,CASH,159985.SZ,True
2022-11-07,CASH,159985.SZ,True
2022-11-08,CASH,159985.SZ,True
2022-11-09,CASH,159985.SZ,True
2022-11-10,159766.SZ,159985.SZ,True
2022-11-11,159766.SZ,159985.SZ,True
2022-11-14,159766.SZ,159985.SZ,True
2022-11-15,159766.SZ,159985.SZ,True
2022-11-16,159766.SZ,159985.SZ,True
2022-11-17,159766.SZ,159985.SZ,True
2022-11-18,159766.SZ,159985.SZ,True
2022-11-21,518880.SH,159985.SZ,True
2022-11-22,518880.SH,159985.SZ,True
2022-11-23,518880.SH,159985.SZ,True
2022-11-24,518880.SH,159985.SZ,True
2022-11-25,518880.SH,159985.SZ,True
2022-11-28,518880.SH,159985.SZ,True
2022-11-29,518880.SH,513200.SH,True
2022-11-30,518880.SH,513200.SH,True
2022-12-01,518880.SH,513200.SH,True
2022-12-02,518880.SH,513200.SH,True
2022-12-05,518880.SH,513200.SH,True
2022-12-06,512800.SH,513200.SH,True
2022-12-07,512800.SH,513200.SH,True
2022-12-08,512800.SH,513200.SH,True
2022-12-09,512800.SH,513200.SH,True
2022-12-12,512800.SH,513200.SH,True
2022-12-13,512800.SH,513200.SH,True
2022-12-14,512800.SH,513200.SH,True
2022-12-15,512800.SH,513200.SH,True
2022-12-16,512800.SH,513200.SH,True
2022-12-19,512800.SH,513200.SH,True
2022-12-20,CASH,513200.SH,True
2022-12-21,512690.SH,513200.SH,True
2022-12-22,512690.SH,513200.SH,True
2022-12-23,512690.SH,513200.SH,True
2022-12-26,512690.SH,513200.SH,True
2022-12-27,512690.SH,513200.SH,True
2022-12-28,512690.SH,513200.SH,True
2022-12-29,512690.SH,513200.SH,True
2022-12-30,512690.SH,513200.SH,True
2023-01-03,512690.SH,513200.SH,True
2023-01-04,518880.SH,513200.SH,True
2023-01-05,518880.SH,513200.SH,True
2023-01-06,518880.SH,513200.SH,True
2023-01-09,518880.SH,513200.SH,True
2023-01-10,518880.SH,513200.SH,True
