date,regime,rows,dde_present
2026-05-11,keyword_proxy,133,133
2026-05-12,keyword_proxy,94,94
2026-05-13,keyword_proxy,146,146
2026-05-14,keyword_proxy,79,79
2026-05-15,keyword_proxy,72,72
2026-05-18,keyword_proxy,101,101
2026-05-19,keyword_proxy,122,122
2026-05-20,keyword_proxy,69,69
2026-05-21,keyword_proxy,35,35
2026-05-22,keyword_proxy,136,136
2026-05-25,keyword_proxy,128,128
2026-05-26,keyword_proxy,64,64
2026-05-27,keyword_proxy,61,61
2026-05-28,keyword_proxy,125,125
2026-05-29,keyword_proxy,67,67
2026-06-01,keyword_proxy,164,164
2026-06-02,keyword_proxy,93,93
2026-06-03,keyword_proxy,81,81
2026-06-04,keyword_proxy,89,89
2026-06-05,keyword_proxy,82,82
2026-06-08,keyword_proxy,62,62
2026-06-09,keyword_proxy,139,139
2026-06-10,keyword_proxy,75,75
2026-06-11,keyword_proxy,78,78
2026-06-12,keyword_proxy,99,99
2026-06-15,keyword_proxy,159,159
2026-06-16,keyword_proxy,137,137
2026-06-17,keyword_proxy,95,95
2026-06-18,keyword_proxy,101,101
2026-06-22,keyword_proxy,149,149
2026-06-23,keyword_proxy,122,122
2026-06-24,keyword_proxy,46,46
2026-06-25,keyword_proxy,91,91
2026-06-26,keyword_proxy,73,73
2026-06-29,keyword_proxy,122,122
2026-06-30,keyword_proxy,168,168
2026-07-01,keyword_proxy,217,217
2026-07-02,keyword_proxy,154,154
2026-07-03,keyword_proxy,156,156
2026-07-06,keyword_proxy,71,71
2026-07-07,keyword_proxy,34,34
2026-07-08,keyword_proxy,55,55
2026-07-09,keyword_proxy,74,74
2026-07-10,keyword_proxy,90,90
2026-07-13,keyword_proxy,30,30
2026-07-14,keyword_proxy,85,85
2026-07-15,keyword_proxy,73,73
2026-07-16,keyword_proxy,46,46
2026-07-17,ai_review,269,34
2026-07-20,ai_review,331,0
2026-07-21,ai_review,267,0
2026-07-22,ai_review,138,0
2026-07-23,ai_review,272,0
2026-07-24,ai_review,118,0
2026-07-27,ai_review,250,0
2026-07-28,ai_review,197,0
2026-07-29,ai_review,190,0
2026-07-30,ai_review,201,0
2026-07-31,ai_review,307,0
2026-08-03,ai_review,180,0
2026-08-04,ai_review,293,0
2026-08-05,ai_review,251,0
2026-08-06,ai_review,183,0
2026-08-07,ai_review,178,0
2026-08-10,ai_review,221,103
2026-08-11,ai_review,136,0
2026-08-12,ai_review,200,0
2026-08-13,ai_review,161,0
2026-08-14,ai_review,156,0
2026-08-17,ai_review,229,0
2026-08-18,ai_review,187,0
2026-08-19,ai_review,203,0
2026-08-20,ai_review,220,0
2026-08-21,ai_review,142,0
2026-08-24,ai_review,121,0
2026-08-25,ai_review,159,0
2026-08-26,ai_review,128,0
2026-08-27,ai_review,175,0
2026-08-28,ai_review,180,0
2026-08-31,ai_review,218,0
2026-09-01,ai_review,174,0
2026-09-02,ai_review,129,0
2026-09-03,ai_review,139,0
2026-09-04,ai_review,136,40
2026-09-07,ai_review,208,94
2026-09-08,ai_review,185,0
2026-09-09,ai_review,131,0
2026-09-10,ai_review,108,0
