date,baseline,rank_2d,gap5_2d,combined5_1d,combined5_2d,combined5_3d,combined8_2d,combined10_2d,combined5_roc3_2d
2025-02-26,200623.6569046896,278601.3900396956,250807.1317059416,283003.129705235,291000.01501614647,203338.74392432175,291000.01501614647,291000.01501614647,285702.9738370567
2025-02-27,200867.35376714877,278939.8856816424,251111.82778305,283346.9252789464,291353.5104649742,203585.74074429474,291353.5104649742,291353.5104649742,286050.0693682819
2025-02-28,192337.84737586192,267092.3768041266,240447.31979197447,271313.9162624326,278981.00119406777,194940.73426646195,278981.00119406777,278981.00119406777,273901.56026522216
2025-03-03,190875.6516754549,265061.3827762736,238619.1251677889,269251.12232808734,276860.0074308594,193458.73862427674,276860.0074308594,276860.0074308594,271818.9663890987
2025-03-04,191850.45365094356,266415.385520233,239837.9276377577,270626.3251150098,278274.0102964123,194446.74062651597,278274.0102964123,278274.0102964123,273207.36920277175
2025-03-05,194774.85957740954,270477.3937521113,243494.3350476641,274751.93347577716,282516.018893071,197410.74663323365,282516.018893071,282516.018893071,277372.5776437908
2025-03-06,197455.55411576442,274200.8861658705,246846.02821892683,278533.72577075625,286404.51097066,200127.74109763108,286404.51097066,286404.51097066,281190.66986481246
2025-03-07,196480.75214027576,272846.8834219111,245627.22574895804,277158.5229838338,284990.5081051071,199139.73909539185,284990.5081051071,284990.5081051071,279802.26705113944
2025-03-10,192581.55876397304,267430.89262224565,240752.03403061812,271657.73232822085,279334.51771313744,195187.7458087822,279334.51771313744,279334.51771313744,274248.67648521956
2025-03-11,193312.64935135058,268446.379548086,241666.12226194327,272689.11904935504,280395.00405962067,195928.73626870118,280395.00405962067,280395.00405962067,275289.9630788952
2025-03-12,193312.64935135058,268446.379548086,241666.12226194327,272689.11904935504,280395.00405962067,195928.73626870118,280395.00405962067,280395.00405962067,275289.9630788952
2025-03-13,191119.34853791408,265399.8784182204,238923.8212448973,269594.91790179873,277213.5028796871,193705.73544424973,277213.5028796871,277213.5028796871,272166.06192032393
2025-03-14,200867.35376714877,278939.8856816424,251111.82778305,283346.9252789464,291353.5104649742,203585.74074429474,291353.5104649742,291353.5104649742,286050.0693682819
2025-03-17,199892.5517916601,277585.88293768297,249893.0253130812,281971.72249202395,289939.5075994213,202597.73874205552,289939.5075994213,289939.5075994213,284661.6665546089
2025-03-18,204766.5471434515,284355.87648130785,255987.0195013899,288847.71593455935,297009.5008569439,207537.7340309044,297009.5008569439,297009.5008569439,291603.6599342018
2025-03-19,206716.15109442882,287063.8819692267,258424.6244413275,291598.12150840426,299837.5065880497,209513.73803538285,299837.5065880497,299837.5065880497,294380.46556154784
2025-03-20,206716.15109442882,287063.8819692267,258424.6244413275,291598.12150840426,299837.5065880497,209513.73803538285,299837.5065880497,299837.5065880497,294380.46556154784
2025-03-21,199405.15806674174,276908.8916537894,249283.63315886442,281284.13134460116,289232.5167017658,202103.74510210953,289232.5167017658,289232.5167017658,283967.4754921585
2025-03-24,198430.35609125308,275554.88890982996,248064.83068889563,279908.9285576787,287818.5138362129,201115.7430998703,287818.5138362129,287818.5138362129,282579.0726784855
2025-03-25,195018.55643986873,270815.8893940581,243799.03112477247,275095.72904948855,282869.5143418987,197657.74345320664,282869.5143418987,282869.5143418987,277719.673175016
2025-03-26,195505.9501647871,271492.8806779517,244408.42327898924,275783.32019691134,283576.5052395542,198151.73709315262,283576.5052395542,283576.5052395542,278413.8642374664
2025-03-27,195786.49377166302,274955.2645037803,246518.80637954857,279457.7041364657,287638.8893872479,198436.13418882695,287638.8893872479,287638.8893872479,282220.248247831
2025-03-28,199402.70537673504,278906.29120942915,250423.7113560251,283416.8554032332,291611.64207724226,202102.74595564214,291611.64207724226,291611.64207724226,286183.8978995372
2025-03-31,201526.5019827989,281873.686467379,253087.70709882295,286436.0505784041,294719.6371105064,204256.14251440373,294719.6371105064,294719.6371105064,289232.6930274058
2025-04-01,202789.30625258954,283638.09243318404,254671.7124546579,288231.2566483504,296567.64335898054,205536.54684370366,296567.64335898054,296567.64335898054,291045.4991568614
2025-04-02,202014.39399062665,282555.3753006157,253699.69707379854,287129.63921670977,295433.6254146446,204750.83441084233,295433.6254146446,295433.6254146446,289933.0815543223
2025-04-03,203879.89563285382,285161.8775951561,256039.69913373506,289781.6415513045,298163.6278179039,206642.3360759577,298163.6278179039,298163.6278179039,292611.08391180524
2025-04-07,197651.9954138902,276460.17728921736,248227.69885907686,280928.0412400252,289049.6274974693,200327.6358539423,289049.6274974693,289049.6274974693,283670.6835974742
2025-04-08,199029.6050482896,278384.9907505211,249955.7109440378,282886.45493631426,291065.6415965904,201724.44562261907,291065.6415965904,291065.6415965904,285648.2974280406
2025-04-09,201526.5019827989,281873.686467379,253087.70709882295,286436.0505784041,294719.6371105064,204256.14251440373,294719.6371105064,294719.6371105064,289232.6930274058
2025-04-10,205888.90055953534,287968.8844787773,258559.70531354463,292637.6485550887,301103.6350276817,208679.34107130376,301103.6350276817,301103.6350276817,295495.09098425397
2025-04-11,209017.19278632672,292339.7736179527,262483.6955631784,297084.83750467363,305681.62365225446,211851.23318975774,305681.62365225446,305681.62365225446,299985.8798255015
2025-04-14,210567.00362502606,294505.1887619194,264427.70915875945,299288.0529129988,307949.6395137657,213422.6441795191,307949.6395137657,307949.6395137657,302210.69538488874
2025-04-15,210509.59410010846,294424.97545358504,264355.6972111276,299206.4393723494,307865.6255748619,213364.43452185002,307865.6255748619,307865.6255748619,302128.28171148786
2025-04-16,215618.19333373578,301562.7743827995,270763.6962498239,306468.8382828719,315341.6244533409,218544.2337447962,315341.6244533409,315341.6244533409,309461.88061132916
2025-04-17,217397.6012164262,304048.98539659346,272995.7061375192,308998.44948892656,317945.6359889854,220348.4417373499,317945.6359889854,317945.6359889854,312016.29192724713
2025-04-18,217914.204829326,304770.79044458235,273643.71066937956,309732.85462503496,318701.64127615583,220872.2454006037,318701.64127615583,318701.64127615583,312757.89711370954
2025-04-21,221960.89891730816,310424.8821842369,278719.7032536081,315485.64622049395,324623.63262442243,224975.3394061884,324623.63262442243,324623.63262442243,318567.08862677106
2025-04-22,229365.49596129925,320770.67805406416,288007.69954572234,326012.04201822344,335459.62829855573,232483.13640898076,335459.62829855573,335459.62829855573,329196.6843833018
2025-04-23,215532.09957419903,301442.48310205305,270655.7040775827,306346.44715433184,315215.63358572614,218456.94007223455,315215.63358572614,315215.63358572614,309338.2895697642
2025-04-24,217885.49322425397,304730.67422983015,273607.6961124948,309692.0381272322,318659.6242931236,220843.1336337885,318659.6242931236,318659.6242931236,312716.68045416364
2025-04-25,216393.10559569867,302645.4915153679,271735.7116306833,307570.4557145125,316475.6423976768,219329.94617765752,316475.6423976768,316475.6423976768,310574.2982138682
