,equity
2021-04-29,69838.24751635143
2021-04-30,69246.04337473461
2021-05-06,67469.44859881946
2021-05-07,67243.0444533724
2021-05-10,68914.79511864322
2021-05-11,65602.31419623792
2021-05-12,65948.51661742627
2021-05-13,62544.215736994134
2021-05-14,63005.81667245327
2021-05-17,64852.21353591381
2021-05-18,65544.61149991449
2021-05-19,65948.51661742627
2021-05-20,63929.01166499555
2021-05-21,63648.556855141964
2021-05-24,63847.758248269405
2021-05-25,63582.15771001562
2021-05-26,64246.157076775875
2021-05-27,63864.35704511388
2021-05-28,63382.95631688818
2021-05-31,63847.758248269405
2021-06-01,64262.75587362036
2021-06-02,63266.75682347998
2021-06-03,62951.35593694433
2021-06-04,62254.15897649512
2021-06-07,62669.156601846065
2021-06-08,63017.75903981909
2021-06-09,62761.658579662115
2021-06-10,64829.558224036955
2021-06-11,65575.36074574258
2021-06-15,64999.062103584074
2021-06-16,60761.562103584074
2021-06-17,62693.85945256021
2021-06-18,65507.561618640684
2021-06-21,65846.56129534509
2021-06-22,65948.26200659538
2021-06-23,67812.76022846963
2021-06-24,66999.15857966212
2021-06-25,67948.35848267343
2021-06-28,69812.86074574258
2021-06-29,69914.56145699289
2021-06-30,71812.96126301553
2021-07-01,70897.66294415262
2021-07-02,70660.36397869851
2021-07-05,72490.96061642435
2021-07-06,72558.76378472116
2021-07-07,76931.86203892496
2021-07-08,77948.86106903816
2021-07-09,79304.8597758558
2021-07-12,83474.556607559
2021-07-13,83271.16326744821
2021-07-14,79643.85945256021
2021-07-15,81271.06275017526
2021-07-16,77440.35751278665
2021-07-19,76287.76022846963
2021-07-20,77982.75861199167
2021-07-21,82186.36106903816
2021-07-22,82762.65971119668
2021-07-23,81982.95964653757
2021-07-26,80423.55951721933
2021-07-27,75677.56404335763
2021-07-28,76389.46093971994
2021-07-29,80626.96093971994
2021-07-30,80452.17463664475
2021-08-02,84787.67845324936
2021-08-03,83453.6797254509
2021-08-04,85788.17749909821
2021-08-05,88789.67463664475
2021-08-06,89523.37711743773
2021-08-09,88923.07291917267
2021-08-10,92391.47597245636
2021-08-11,91991.27317361298
2021-08-12,89389.97883490982
2021-08-13,89056.47915296022
2021-08-16,87322.27762631836
2021-08-17,85854.87266473236
2021-08-18,88256.07355527344
2021-08-19,90056.97819880905
2021-08-20,89790.1736824936
2021-08-23,93725.47470025482
2021-08-24,93191.87361888352
2021-08-25,92258.07768992844
2021-08-26,91924.57800797882
2021-08-27,90390.47788075867
2021-08-30,92791.67877129975
2021-08-31,92971.83703773588
2021-09-01,92843.56843407244
2021-09-02,92714.94649302692
2021-09-03,92808.27623440475
2021-09-06,92862.71434206993
2021-09-07,92819.2047826758
2021-09-08,92555.07215167613
2021-09-09,92085.79563464971
2021-09-10,92325.35452323685
2021-09-13,92343.97059563485
2021-09-14,89560.48764318845
2021-09-15,89244.5967202904
2021-09-16,87404.59847505111
2021-09-17,88435.00275666735
2021-09-22,87772.598124099
2021-09-23,88876.59707124255
2021-09-24,87625.4000192406
2021-09-27,85270.19524629138
2021-09-28,86594.99573762438
2021-09-29,85417.40212495349
2021-09-30,85270.19524629138
2021-10-08,86153.40142304919
2021-10-11,86171.35215430253
2021-10-12,86697.18687586341
2021-10-13,86386.10797358783
2021-10-14,84437.91256381305
2021-10-15,83969.98073913943
2021-10-18,83854.81880553426
2021-10-19,83854.81880553426
2021-10-20,83854.81880553426
2021-10-21,83653.15303468588
2021-10-22,83792.08236304016
2021-10-25,83792.08236304016
2021-10-26,84340.1861962387
2021-10-27,84279.28335037918
2021-10-28,83974.783640773
2021-10-29,84096.58207264633
2021-11-01,85131.8868931839
2021-11-02,84949.18561545105
2021-11-03,85558.18503466339
2021-11-04,85984.48317614288
2021-11-05,86349.88573160858
2021-11-08,86471.6841634819
2021-11-09,86410.7885774681
2021-11-10,86045.3860220024
2021-11-11,85856.95255635497
2021-11-12,85905.99152773136
2021-11-15,88969.630068664
2021-11-16,89638.3006269521
2021-11-17,89978.2030040807
2021-11-18,87712.19841190045
2021-11-19,87938.8022477216
2021-11-22,87712.19841190045
2021-11-23,87938.8022477216
2021-11-24,88958.50262590115
2021-11-25,86692.4980337209
2021-11-26,85559.4991142339
2021-11-29,84199.89635892575
2021-11-30,83973.29927631085
2021-12-01,85332.902031619
2021-12-02,83520.0983578748
2021-12-03,84313.20165343945
2021-12-06,83406.79981656735
2021-12-07,80806.9805860028
2021-12-08,82267.4957164702
2021-12-09,81926.700104135
2021-12-10,81301.89799155566
2021-12-13,81549.23601470355
2021-12-14,82024.86347441794
2021-12-15,82024.86347441794
2021-12-16,82024.86347441794
2021-12-17,81588.6690903199
2021-12-20,79407.66467039708
2021-12-21,80839.40638191035
2021-12-22,83457.72747198632
2021-12-23,82462.72842089226
2021-12-24,82860.72922746232
2021-12-27,81268.7260011821
2021-12-28,81268.7260011821
2021-12-29,79975.22486249497
2021-12-30,84054.72571651032
2021-12-31,85447.72557417443
2022-01-04,88731.22481504967
2022-01-05,88830.7294646888
2022-01-06,87537.22832600167
2022-01-07,86044.72974936059
2022-01-10,86044.72974936059
2022-01-11,83159.22538439324
2022-01-12,83955.22699753335
2022-01-13,82064.72761432221
2022-01-14,82761.22457782319
2022-01-17,85646.72894279053
2022-01-18,83855.72827855637
2022-01-19,84552.22524205735
2022-01-20,82363.22970191529
2022-01-21,81246.2642533212
2022-01-24,82337.46908730558
2022-01-25,79063.86297768644
2022-01-26,79486.265931788
2022-01-27,78078.26727456144
2022-01-28,77902.26324624114
2022-02-07,77689.19280900784
2022-02-08,77764.5481341345
2022-02-09,78341.42586412259
2022-02-10,78949.85783281155
2022-02-11,78039.838830188
2022-02-14,77661.1900224907
2022-02-15,76893.95553950137
2022-02-16,77165.45528057881
2022-02-17,78794.46020010777
2022-02-18,78903.05880192586
2022-02-21,79446.05828408069
2022-02-22,81075.05673054524
2022-02-23,81726.65481451817
2022-02-24,85201.85538414784
2022-02-25,81618.0562127001
2022-02-28,80640.65585020848
2022-03-01,81726.65481451817
2022-03-02,81726.65481451817
2022-03-03,81618.0562127001
2022-03-04,81509.457610882
2022-03-07,85636.2562644846
2022-03-08,86939.45890549489
2022-03-09,88242.65507344075
2022-03-10,86016.35460738011
2022-03-11,87482.45838764973
2022-03-14,88242.65507344075
2022-03-15,85907.75600556203
2022-03-16,87482.45838764973
2022-03-17,87210.95864657231
2022-03-18,89165.75937155553
2022-03-21,89437.25911263295
2022-03-22,92206.55906084843
2022-03-23,92206.55906084843
2022-03-24,91663.55957869359
2022-03-25,90957.6589572794
2022-03-28,89491.55517700978
2022-03-29,88514.15481451817
2022-03-30,86016.35460738011
2022-03-31,86396.45942334004
2022-04-01,81563.76014832326
2022-04-06,83403.9984726596
2022-04-07,80245.94142147304
2022-04-08,82242.34258838893
2022-04-11,79279.94234272242
2022-04-12,77283.54117580653
2022-04-13,76317.54209705592
2022-04-14,79279.94234272242
2022-04-15,79279.94234272242
2022-04-18,76671.74713321925
2022-04-19,76929.34381672145
2022-04-20,73258.54117580653
2022-04-21,71358.74068447354
2022-04-22,70327.56809153588
2022-04-25,69849.6689692977
2022-04-26,69247.87038722068
2022-04-27,69303.67367759539
2022-04-28,69538.49412147462
2022-04-29,70464.09069244325
2022-05-05,70232.69048873842
2022-05-06,70108.0910319513
2022-05-09,70410.69031898439
2022-05-10,69894.49378196658
2022-05-11,69538.49412147462
2022-05-12,70214.89177886903
2022-05-13,69502.89245788514
2022-05-16,69155.30809745529
2022-05-17,68861.4093155358
2022-05-18,68819.20734352805
2022-05-19,68566.00557274558
2022-05-20,69494.40871185996
2022-05-23,69789.80742401816
2022-05-24,68228.40991921167
2022-05-25,68243.232890515
2022-05-26,68688.04978603093
2022-05-27,70262.47656378952
2022-05-30,69840.47696624008
2022-05-31,70178.07261977402
2022-06-01,68912.07382712571
2022-06-02,68912.07382712571
2022-06-06,69123.07362590042
2022-06-07,68399.00013201275
2022-06-08,69785.7543854039
2022-06-09,68161.66194500854
2022-06-10,71074.46390213897
2022-06-13,72729.46232380798
2022-06-14,72332.25954594543
2022-06-15,71835.76396527221
2022-06-16,72133.66604866913
2022-06-17,75278.15910401275
2022-06-20,76337.3612505429
2022-06-21,75344.3621975415
2022-06-22,75377.45979847839
2022-06-23,78257.16415467192
2022-06-24,79250.16320767334
2022-06-27,79912.16257634094
2022-06-28,80905.16162934234
2022-06-29,76966.26301827362
2022-06-30,78124.7658592694
2022-07-01,78521.96074547699
2022-07-04,80375.56055607727
2022-07-05,80673.46263947418
2022-07-06,80143.8615662091
2022-07-07,80015.39267997925
2022-07-08,79982.93754410927
2022-07-11,79799.1932345504
2022-07-12,79490.95652996247
2022-07-13,79780.52657597249
2022-07-14,80161.80307265942
2022-07-15,79795.72069879239
2022-07-18,80447.88590655988
2022-07-19,80258.45598613683
2022-07-20,81137.34535616104
2022-07-21,80992.22495964234
2022-07-22,80913.49498241607
2022-07-25,80237.69877436582
2022-07-26,81294.94686098612
2022-07-27,82417.49236993896
2022-07-28,82890.56172225106
2022-07-29,82752.79063053238
2022-08-01,83864.60098669637
2022-08-02,82863.32455331195
2022-08-03,81374.60784188617
2022-08-04,81682.28516625272
2022-08-05,81723.37216540205
2022-08-08,81934.84128364432
2022-08-09,82039.64895781863
2022-08-10,82112.03133968222
2022-08-11,82400.93336013662
2022-08-12,81726.8305590521
2022-08-15,82400.93336013662
2022-08-16,83075.03042129385
2022-08-17,83556.52996209967
2022-08-18,84423.2302835356
2022-08-19,81919.4338193308
2022-08-22,81726.8305590521
2022-08-23,82400.93336013662
2022-08-24,79223.03409484732
2022-08-25,77240.72338405656
2022-08-26,76831.7998219024
2022-08-29,76107.2160521518
2022-08-30,75783.33661897073
2022-08-31,74816.2324293388
2022-09-01,74193.73276976237
2022-09-02,74995.98269916425
2022-09-05,75506.40877001653
2022-09-06,74772.45307228694
2022-09-07,75481.81064618
2022-09-08,75383.62463057169
2022-09-09,75591.52741792807
2022-09-13,79759.12776353964
2022-09-14,79396.72702911505
2022-09-15,78309.52482584129
2022-09-16,78490.72789314398
2022-09-19,78717.22767713675
2022-09-20,79079.62841156132
2022-09-21,79985.62754753241
2022-09-22,80257.42944839604
2022-09-23,79532.62797954687
2022-09-26,78989.02957800041
2022-09-27,79170.22724512228
2022-09-28,79940.32543066153
2022-09-29,81661.72486904272
2022-09-30,80483.92923238881
2022-10-10,80710.42901638159
2022-10-11,79623.22681310782
2022-10-12,80257.42944839604
2022-10-13,80438.62711551794
2022-10-14,81888.2246530355
2022-10-17,79849.72659710058
2022-10-18,78807.82651069769
2022-10-19,78479.78613677548
2022-10-20,78486.71910080305
2022-10-21,78117.81514390121
2022-10-24,78371.88544545852
2022-10-25,78238.08450971331
2022-10-26,79397.68553052627
2022-10-27,78996.28804002487
2022-10-28,78327.28336129867
2022-10-31,79620.68531785693
2022-11-01,81895.28527532303
2022-11-02,81583.08663640701
2022-11-03,81493.88778482165
2022-11-04,81404.68361650192
2022-11-07,81850.68319116317
2022-11-08,82475.08578572952
2022-11-09,82564.28463731491
2022-11-10,83411.68701921188
2022-11-11,82073.68829522812
2022-11-14,80691.0874870845
2022-11-15,80557.28655133929
2022-11-16,80958.68404184066
2022-11-17,80512.68446717941
2022-11-18,79799.08302102768
2022-11-21,80200.4858282634
2022-11-22,80824.88310609543
2022-11-23,81761.48433957779
2022-11-24,82653.48348890033
2022-11-25,83411.68701921188
2022-11-28,81984.48412690844
2022-11-29,83912.01155188374
2022-11-30,82006.25543162928
2022-12-01,81736.58243762121
2022-12-02,79786.18342028723
2022-12-05,80301.38994799719
2022-12-06,80374.98461352453
2022-12-07,78755.78791247473
2022-12-08,80080.58840380773
2022-12-09,81920.58664904699
2022-12-12,79050.18412219152
2022-12-13,79786.18342028723
2022-12-14,79016.85880567195
2022-12-15,79111.11208462286
2022-12-16,79593.53856818611
2022-12-19,78514.53761832649
2022-12-20,78971.03916184837
2022-12-21,79635.04050748283
2022-12-22,80133.03904311593
2022-12-23,80390.77548889635
2022-12-26,80917.49481742119
2022-12-27,81942.22079998229
2022-12-28,82380.21516090607
2022-12-29,81723.21926838132
2022-12-30,82015.21550899718
2023-01-03,82380.21516090607
2023-01-04,84862.21801525328
2023-01-05,85957.2169709799
2023-01-06,85519.213907778
2023-01-09,86176.21850258086
2023-01-10,85957.2169709799
2023-01-11,86395.22003418181
2023-01-12,85665.22073036406
2023-01-13,86979.22121769164
2023-01-16,86030.22038227294
2023-01-17,86249.21321159575
2023-01-18,86614.21286350462
2023-01-19,86833.21439510558
2023-01-20,88074.22017341826
2023-01-30,88585.21794563504
2023-01-31,86395.22003418181
2023-02-01,87709.22052150939
2023-02-02,87563.21369892333
2023-02-03,86030.22038227294
2023-02-06,84497.21836334441
2023-02-07,85081.21954685423
2023-02-08,85081.21954685423
2023-02-09,86322.21662288878
2023-02-10,85008.21613556122
2023-02-13,84278.56105079055
2023-02-14,84089.83807217135
2023-02-15,84819.72864474032
2023-02-16,82464.52844942782
2023-02-17,81030.92859591219
2023-02-20,82976.52796114657
2023-02-21,83283.73010958407
2023-02-22,83078.92664278719
2023-02-23,82771.73059786532
2023-02-24,82771.73059786532
2023-02-27,81850.13025606844
2023-02-28,82874.12927950594
2023-03-01,84205.33045138094
2023-03-02,84307.72913302157
2023-03-03,83898.12830294344
2023-03-06,83386.12879122469
2023-03-07,81338.13074434969
2023-03-08,82161.70208983032
2023-03-09,82471.27007490405
2023-03-10,81402.06679102365
2023-03-13,83462.46329095546
2023-03-14,82432.26120319552
2023-03-15,81917.16015931554
2023-03-16,80886.9657471437
2023-03-17,84492.66537871546
2023-03-20,85522.85979088728
2023-03-21,86037.96083476726
2023-03-22,90158.76151021902
2023-03-23,93249.36009791083
2023-03-24,93249.36009791083
2023-03-27,93249.36009791083
2023-03-28,90673.862554099
2023-03-29,91188.96359797902
2023-03-30,89128.55942245907
2023-03-31,91188.96359797902
2023-04-03,94794.66322955076
2023-04-04,94794.66322955076
2023-04-06,98400.36286112256
2023-04-07,100460.75936105437
2023-04-10,96855.05972948257
2023-04-11,96855.05972948257
2023-04-12,99430.5649488825
2023-04-13,95309.76427343077
2023-04-14,95824.86531731076
2023-04-17,94279.56218567077
2023-04-18,97885.26181724257
2023-04-19,96339.96636119075
2023-04-20,100975.86040493433
2023-04-21,99109.98668228985
2023-04-24,98596.2172038096
2023-04-25,98740.7239563006
2023-04-26,98596.2172038096
2023-04-27,98740.7239563006
2023-04-28,100474.71885748087
2023-05-04,99896.71768613039
2023-05-05,97393.97247620951
2023-05-08,97104.33553340229
2023-05-09,97304.13163783344
2023-05-10,97770.32960536274
2023-05-11,97681.53604151997
2023-05-12,97037.7297747353
2023-05-15,97415.13417842182
2023-05-16,97126.53392436299
2023-05-17,96771.33849742207
2023-05-18,96677.1254816795
2023-05-19,97398.58907865887
2023-05-22,95950.3969308496
2023-05-23,94834.51763775831
2023-05-24,94704.23876765257
2023-05-25,94671.36338522201
2023-05-26,94326.88288656954
2023-05-29,94613.7700947476
